year,lowest,highest,average
2000,153.37,881.38,526.4041503169333
2003,100.3026,818.6678,516.0882534611669
2006,7.7413,826.5329,512.4287299302305
2009,45.82,871.12,511.5319360537769
2012,131.5007,822.9887,511.2359059506127
2015,109.452,812.414,514.925972529664
2018,130.607,878.862,509.4664757868715
