school_name,school_type,osslt10,ossltchange,low_inc,no_deg,esl,imm
École secondaire catholique Paul-Desmarais,Catholic,96,-3,10,0,65,0
École secondaire catholique Pierre-Savard,Catholic,94,3,9,1,66,1
Collège Notre-Dame,Catholic,90,1,11,2,87,1
École secondaire Catholique Champlain,Catholic,73,-12,10,5,90,0
École secondaire catholique Jeunesse-Nord,Catholic,67,-33,10,10,40,0
École secondaire catholique Trillium,Catholic,73,0,0,10,50,0
École secondaire catholique l'Horizon,Catholic,80,-4,5,0,90,0
École secondaire du Sacré-Coeur,Catholic,75,-14,20,5,75,0
École secondaire catholique E.J.Lajeunesse,Catholic,97,2,20,10,40,0
École secondaire catholique l'Essor,Catholic,84,-6,11,7,25,0
École secondaire catholique École secondaire Monseigneur-Bruyère,Catholic,92,0,20,5,60,5
École secondaire catholique École secondaire Notre-Dame,Catholic,68,-7,10,10,10,0
École secondaire catholique École secondaire Saint-François-Xavier,Catholic,96,14,10,0,30,0
École secondaire catholique École secondaire de Pain Court,Catholic,83,0,10,10,15,0
École secondaire publique De La Salle,Public,96,-2,23,7,77,7
École secondaire publique Gisèle-Lalonde,Public,92,-4,10,2,86,2
École secondaire publique L'Héritage,Public,79,-7,20,5,60,0
École secondaire publique Le Sommet,Public,97,-3,20,10,90,0
École secondaire publique Louis-Riel,Public,96,2,25,10,85,5
École secondaire publique Marc-Garneau,Public,100,0,10,0,60,0
École secondaire publique Maurice-Lapointe,Public,94,-6,10,0,85,0
École secondaire publique Omer-Deslauriers,Public,87,1,30,15,90,15
A N Myer Secondary School,Public,84,-4,13,5,9,0
Beamsville District Secondary School,Public,83,15,10,5,0,0
DSBN Academy,Public,89,16,20,10,10,0
E L Crossley Secondary School,Public,80,-10,5,1,2,1
Eastdale Secondary School,Public,64,-16,25,15,5,0
Eden High School,Public,92,-1,12,5,10,3
Governor Simcoe Secondary School,Public,84,4,12,7,5,1
Grimsby Secondary School,Public,85,-5,8,2,3,1
Laura Secord Secondary School,Public,82,1,21,8,6,3
Port Colborne High School,Public,61,-13,15,5,0,0
Sir Winston Churchill Secondary School,Public,87,-3,16,6,17,3
St Catharines Collegiate Institute and Vocational School,Public,52,-33,26,12,14,9
Stamford Collegiate,Public,75,-23,22,7,5,1
Thorold Secondary School,Public,73,-10,17,8,4,2
Welland Centennial Secondary School,Public,75,-14,15,3,6,3
Westlane Secondary School,Public,84,-11,17,7,27,5
Cochrane High School,Public,42,-12,10,15,0,0
Englehart High School,Public,73,13,15,15,0,0
Iroquois Falls Secondary School,Public,57,-7,20,5,0,0
Kapuskasing District High School,Public,53,-28,15,5,5,0
Kirkland Lake District Composite Secondary School,Public,55,-20,20,0,5,0
Roland Michener Secondary School,Public,65,-6,10,10,0,0
Timiskaming District Secondary School,Public,78,3,12,7,3,1
Timmins High and Vocational School,Public,63,4,13,9,1,1
Ascension of Our Lord Secondary School,Catholic,76,6,21,16,34,11
Cardinal Ambrozic Catholic Secondary School,Catholic,86,3,10,11,28,3
Cardinal Leger Secondary School,Catholic,76,1,15,7,22,6
Father Michael Goetz Secondary School,Catholic,81,3,28,8,50,18
Holy Name of Mary Secondary School,Catholic,94,8,14,9,37,4
Iona Secondary School,Catholic,87,2,15,3,28,8
John Cabot Catholic Secondary School,Catholic,82,3,21,6,36,16
Loyola Catholic Secondary School,Catholic,85,5,16,6,27,3
Notre Dame Catholic Secondary School,Catholic,84,1,13,7,20,7
Our Lady of Mount Carmel Secondary School,Catholic,89,0,10,4,27,6
Philip Pocock Catholic Secondary School,Catholic,86,-1,19,7,49,9
Robert F Hall Catholic Secondary School,Catholic,79,-5,7,5,6,2
St Aloysius Gonzaga Secondary School,Catholic,90,-3,16,2,31,4
St Augustine Secondary School,Catholic,74,1,14,7,23,8
St Edmund Campion Secondary School,Catholic,87,9,10,8,20,2
St Francis Xavier Secondary School,Catholic,90,5,16,5,31,6
St Joseph Secondary School,Catholic,83,2,17,6,30,8
St Marcellinus Secondary School,Catholic,88,-4,10,5,19,2
St Marguerite d'Youville Secondary School,Catholic,81,2,11,9,12,4
St Martin Secondary School,Catholic,78,-3,19,5,38,9
St Paul Secondary School,Catholic,79,-7,20,5,35,10
St Thomas Aquinas Secondary School,Catholic,75,4,16,11,20,5
St. Joan of Arc Catholic Secondary School,Catholic,84,-2,20,3,48,9
St. Michael Catholic Secondary School,Catholic,79,-1,7,5,5,1
St. Roch Catholic Secondary School,Catholic,87,9,11,7,20,3
All Saints Catholic Secondary School Secondary School,Catholic,91,11,10,2,5,2
Archbishop Denis O'Connor Catholic High School,Catholic,87,12,12,7,10,5
Father Leo J Austin Catholic Secondary School,Catholic,87,4,10,2,5,1
Monsignor John Pereyma Catholic Secondary School,Catholic,53,-19,20,10,10,0
Monsignor Paul Dwyer Catholic High School,Catholic,70,-11,14,5,7,4
Notre Dame Catholic Secondary School,Catholic,80,0,13,7,7,2
St Mary Catholic Secondary School,Catholic,84,2,9,4,6,3
Ajax High School,Public,75,0,12,7,11,3
Anderson Collegiate and Vocational Institute,Public,87,9,10,1,8,0
Brock High School,Public,61,-18,10,0,0,0
Brooklin High School,Public,85,-4,5,3,2,1
Donald A Wilson Secondary School,Public,88,3,8,2,11,2
Dunbarton High School,Public,87,7,7,4,10,2
Durham Alternative Secondary School,Public,50,12,20,10,5,0
Eastdale Collegiate and Vocational Institute,Public,75,3,17,6,6,2
G L Roberts Collegiate and Vocational Institute,Public,38,-24,30,10,5,5
Henry Street High School,Public,83,5,12,4,8,3
J Clarke Richardson Collegiate,Public,85,7,13,6,25,3
Maxwell Heights Secondary School,Public,82,2,11,3,12,2
O'Neill Collegiate and Vocational Institute,Public,86,3,19,4,8,2
Pickering High School,Public,91,8,10,6,14,2
Pine Ridge Secondary School,Public,77,5,13,3,20,2
Port Perry High School,Public,71,-9,11,1,2,1
