school_name,school_type,osslt10,ossltchange,low_inc,no_deg,esl,imm
Ecole secondaire Jeunes sans frontieres,Public,92,-5,20,5,75,10
Ecole secondaire Le Caron,Public,72,-17,10,0,25,0
Ecole secondaire Norval-Morrisseau,Public,89,-11,20,10,50,0
Ecole secondaire Romeo Dallaire,Public,86,-14,10,0,60,0
Ecole secondaire Ronald-Marion,Public,81,-11,15,5,75,10
Ecole secondaire Toronto Ouest,Public,92,5,15,10,60,5
Ecole secondaire de Lamothe-Cadillac,Public,88,-12,30,15,90,15
ESAC Mere-Teresa,Catholic,86,-3,20,5,60,5
ESC Monseigneur-de-Charbonnel,Catholic,0.91,3,25,15,80,10
ESC Nouvelle-Alliance,Catholic,89,-1,15,0,50,0
ESC Pere-Rene-de-Galinee,Catholic,94,-3,5,5,55,0
ESC Renaissance,Catholic,93,-1,10,0,65,0
ESC Saint-Charles-Garnier,Catholic,94,0,15,0,75,0
ESC Saint-Frere-Andre,Catholic,98,3,20,10,70,5
ESC Saint-Jean-de-Brebeuf,Catholic,88,-5,15,0,70,0
ESC Sainte-Famille,Catholic,94,-1,10,0,75,5
ESC Sainte-Trinite,Catholic,94,-1,10,0,75,0
Ecole secondaire Hanmer,Public,79,-1,10,5,80,0
Ecole secondaire Macdonald-Cartier,Public,90,5,10,0,70,0
Ecole secondaire Renaissance,Public,57,-25,10,10,70,0
Ecole secondaire publique Echo du Nord,Public,64,-21,20,10,90,0
Ecole secondaire publique Nipissing Ouest,Public,62,-2,20,10,80,0
Ecole secondaire publique Odyssee,Public,56,-18,10,0,50,0
Ecole secondaire catholique Algonquin,Catholic,82,-2,15,0,60,0
Ecole secondaire catholique Franco-Cite,Catholic,82,-6,15,10,85,0
Ecole secondaire catholique Embrun,Catholic,0.98,1,0,5,90,0
Ecole secondaire catholique L'Escale,Catholic,0.95,0,8,3,96,0
Ecole secondaire catholique La Citadelle,Catholic,0.83,-10,20,5,85,0
Ecole secondaire catholique Le Relais,Catholic,81,-11,20,5,95,0
Ecole secondaire catholique de Casselman,Catholic,86,-4,9,0,94,1
Ecole secondaire catholique de Plantagenet,Catholic,90,-10,10,5,100,0
Ecole secondaire catholique regionale de Hawkesbury,Catholic,90,-1,20,5,95,0
Ecole secondaire catholique de La Verendrye,Catholic,0.94,1,10,0,35,0
Ecole catholique Nouveau Regard (Pavillon Jeunesse Nord),Catholic,78,3,5,10,80,0
Ecole secondaire catholique Cite des Jeunes,Catholic,83,-9,15,0,90,0
Ecole secondaire catholique Hearst,Catholic,89,-4,10,10,100,0
Ecole secondaire catholique Sainte-Marie,Catholic,81,-6,10,10,80,0
Ecole secondaire catholique Theriault,Catholic,79,-11,10,9,79,0
Ecole secondaire catholique l?Envolee du Nord,Catholic,89,8,20,0,70,0
Academie catholique Ange-Gabriel,Catholic,94,-6,10,0,40,0
Ecole secondaire catholique Beatrice-Desloges,Catholic,0.92,-5,6,1,85,1
Ecole secondaire catholique College catholique Franco-Ouest,Catholic,0.87,-5,25,5,80,10
Ecole secondaire catholique College catholique Samuel-Genest,Catholic,0.9,-1,27,9,90,17
Ecole secondaire catholique Franco-Cite,Catholic,86,-6,23,10,77,9
Ecole secondaire catholique Garneau,Catholic,0.94,-1,6,3,84,2
Ecole secondaire catholique Jeanne-Lajoie,Catholic,1,2,10,5,60,0
Ecole secondaire catholique Marie-Rivier,Catholic,92,-8,10,0,55,5
Ecole secondaire catholique Mer Bleue,Catholic,95,3,5,0,85,5
Ecole secondaire catholique Paul-Desmarais,Catholic,96,-3,6,1,60,1
Ecole secondaire catholique Pierre-Savard,Catholic,94,3,8,2,63,2
Ecole secondaire catholique de l?innovation,Catholic,71,-29,20,0,90,0
College Notre-Dame,Catholic,90,1,11,2,85,2
Ecole secondaire catholique Champlain,Catholic,73,-12,10,5,85,0
Ecole secondaire catholique Jeunesse-Nord,Catholic,0.67,-33,20,10,40,0
Ecole secondaire catholique Trillium,Catholic,0.73,0,0,10,50,0
Ecole secondaire catholique l'Horizon,Catholic,80,-4,5,0,90,0
Ecole secondaire du Sacre-Coeur,Catholic,0.75,-14,10,5,80,5
Ecole secondaire catholique E.J.Lajeunesse,Catholic,97,2,20,5,30,0
Ecole secondaire catholique Ecole secondaire Monseigneur-Bruyere,Catholic,92,0,15,10,55,10
Ecole secondaire catholique Ecole secondaire Notre-Dame,Catholic,68,-7,0,0,20,0
Ecole secondaire catholique Ecole secondaire Saint-Francois-Xavier,Catholic,96,14,20,0,20,0
Ecole secondaire catholique Ecole secondaire de Pain Court,Catholic,83,0,10,5,15,0
Ecole secondaire catholique l'Essor,Catholic,84,-6,10,7,22,1
A N Myer Secondary School,Public,84,-4,12,5,9,0
Beamsville District Secondary School,Public,83,15,10,5,0,0
DSBN Academy,Public,89,16,25,5,10,0
E L Crossley Secondary School,Public,80,-10,5,1,2,1
Eastdale Secondary School,Public,64,-16,30,10,0,0
Eden High School,Public,92,-1,13,6,10,3
Governor Simcoe Secondary School,Public,84,4,11,6,6,1
Grimsby Secondary School,Public,85,-5,8,2,4,2
Laura Secord Secondary School,Public,82,1,20,9,7,4
Port Colborne High School,Public,61,-13,20,0,0,0
Sir Winston Churchill Secondary School,Public,87,-3,15,6,17,3
St Catharines Collegiate Institute and Vocational School,Public,52,-33,25,11,20,13
Stamford Collegiate,Public,75,-23,20,7,7,2
Thorold Secondary School,Public,73,-10,18,8,4,2
Welland Centennial Secondary School,Public,75,-14,15,3,8,4
Westlane Secondary School,Public,84,-11,17,7,31,5
Cochrane High School,Public,42,-12,10,15,0,0
Englehart High School,Public,73,13,20,15,0,0
Iroquois Falls Secondary School,Public,57,-7,15,10,0,0
Kapuskasing District High School,Public,53,-28,20,0,5,0
Kirkland Lake District Composite Secondary School,Public,55,-20,20,0,0,0
Roland Michener Secondary School,Public,65,-6,10,10,0,0
Timiskaming District Secondary School,Public,78,3,13,6,2,1
Timmins High and Vocational School,Public,63,4,13,9,2,1
Ascension of Our Lord Secondary School,Catholic,76,6,21,16,29,10
Cardinal Ambrozic Catholic Secondary School,Catholic,86,3,11,10,26,4
Cardinal Leger Secondary School,Catholic,76,1,15,6,25,6
Father Michael Goetz Secondary School,Catholic,81,3,29,7,50,20
Holy Name of Mary Secondary School,Catholic,94,8,15,9,35,4
Iona Secondary School,Catholic,87,2,15,4,30,7
John Cabot Catholic Secondary School,Catholic,82,3,21,8,37,14
Loyola Catholic Secondary School,Catholic,85,5,15,6,26,4
Notre Dame Catholic Secondary School,Catholic,84,1,13,7,18,8
Our Lady of Mount Carmel Secondary School,Catholic,89,0,11,3,24,6
Philip Pocock Catholic Secondary School,Catholic,86,-1,19,6,47,7
Robert F Hall Catholic Secondary School,Catholic,79,-5,7,5,6,1
St Aloysius Gonzaga Secondary School,Catholic,90,-3,16,3,30,4
St Augustine Secondary School,Catholic,74,1,14,7,20,8
St Edmund Campion Secondary School,Catholic,87,9,10,7,20,4
St Francis Xavier Secondary School,Catholic,90,5,16,6,30,6
St Joseph Secondary School,Catholic,83,2,16,6,27,9
St Marcellinus Secondary School,Catholic,88,-4,10,5,17,2
St Marguerite d'Youville Secondary School,Catholic,81,2,11,9,14,5
St Martin Secondary School,Catholic,78,-3,19,5,36,6
St Paul Secondary School,Catholic,79,-7,20,5,30,5
St Thomas Aquinas Secondary School,Catholic,75,4,15,10,21,5
St. Joan of Arc Catholic Secondary School,Catholic,84,-2,21,2,50,10
St. Michael Catholic Secondary School,Catholic,79,-1,6,4,5,1
St. Roch Catholic Secondary School,Catholic,87,9,11,7,17,4
All Saints Catholic Secondary School Secondary School,Catholic,91,11,11,3,7,2
Archbishop Denis O'Connor Catholic High School,Catholic,87,12,12,6,10,6
Father Leo J Austin Catholic Secondary School,Catholic,87,4,10,2,8,2
Monsignor John Pereyma Catholic Secondary School,Catholic,53,-19,20,10,10,0
Monsignor Paul Dwyer Catholic High School,Catholic,70,-11,14,5,5,5
Notre Dame Catholic Secondary School,Catholic,80,0,12,7,8,2
St Mary Catholic Secondary School,Catholic,84,2,10,4,7,3
Ajax High School,Public,75,0,12,7,14,4
Anderson Collegiate and Vocational Institute,Public,87,9,9,2,10,1
Brock High School,Public,61,-18,15,0,0,0
Brooklin High School,Public,85,-4,5,3,2,2
Donald A Wilson Secondary School,Public,88,3,8,2,14,1
Dunbarton High School,Public,87,7,7,4,13,1
Durham Alternative Secondary School,Public,50,12,20,10,5,0
Eastdale Collegiate and Vocational Institute,Public,75,3,18,6,5,3
G L Roberts Collegiate and Vocational Institute,Public,38,-24,35,15,10,0
Henry Street High School,Public,83,5,13,3,10,3
J Clarke Richardson Collegiate Institute,Public,85,7,13,6,29,3
Maxwell Heights Secondary School,Public,82,2,12,3,13,2
O'Neill Collegiate and Vocational Institute,Public,86,3,19,5,12,3
Pickering High School,Public,91,8,9,6,19,2
Pine Ridge Secondary School,Public,77,5,13,4,23,3
Port Perry High School,Public,71,-9,10,1,2,1
R S Mclaughlin Collegiate and Vocational Institute,Public,80,-3,17,8,10,3
Sinclair Secondary School,Public,79,-1,9,3,17,2
Uxbridge Secondary School,Public,89,2,7,0,3,1
Brantford Collegiate Institute and Vocational School,Public,72,-7,15,3,3,0
Cayuga Secondary School,Public,63,-16,8,1,3,1
Delhi District Secondary School,Public,57,-13,12,9,2,1
Dunnville Secondary School,Public,67,7,10,5,0,0
Hagersville Secondary School,Public,56,-17,5,5,0,0
McKinnon Park Secondary School,Public,68,-1,6,1,3,0
North Park Collegiate and Vocational School,Public,72,1,15,4,8,0
Paris District High School,Public,72,-1,10,4,1,0
Pauline Johnson Collegiate and Vocational School,Public,46,-9,23,9,5,2
Simcoe Composite School,Public,67,-3,11,7,2,2
Tollgate Technological Skills Centre Secondary School,Public,0,-2,25,10,5,0
Valley Heights Secondary School,Public,47,-13,10,30,35,0
Waterford District High School,Public,64,-7,10,0,0,0
Belle River District High School,Public,76,4,8,4,4,1
Essex District High School,Public,84,12,6,3,1,0
General Amherst High School,Public,81,-1,8,0,2,1
Hon W C Kennedy Collegiate Institute,Public,64,-2,39,17,36,10
Kingsville District High School,Public,81,-6,8,12,4,1
Leamington District Secondary School,Public,66,-11,14,27,31,12
Riverside Secondary School,Public,75,0,18,7,21,4
Sandwich Secondary School,Public,91,2,9,3,10,2
Tecumseh Vista Academy- Secondary,Public,90,-2,8,2,9,2
Vincent Massey Secondary School,Public,84,-6,20,5,47,6
W. F. Herman Academy Secondary School,Public,62,-10,29,11,15,6
Walkerville Collegiate Institute,Public,81,2,29,10,8,1
Western Secondary School,Public,10,8,10,10,5,0
Westview Freedom Academy Secondary School,Public,39,-2,41,16,57,43
Assumption Catholic Secondary School,Catholic,87,-2,12,3,19,8
Bishop Paul Francis Reding Catholic Secondary School,Catholic,86,0,10,5,33,4
Christ the King Catholic Secondary School,Catholic,81,-6,4,2,5,1
Corpus Christi Catholic Secondary School,Catholic,88,2,7,1,17,3
Holy Trinity Catholic Secondary School,Catholic,86,1,13,1,16,5
Notre Dame Catholic Secondary School,Catholic,82,-6,7,3,11,2
St. Francis Xavier Catholic Secondary School,Catholic,85,0,15,3,29,7
St. Ignatius of Loyola Catholic Secondary School,Catholic,91,0,13,2,23,4
St. Thomas Aquinas Catholic Secondary School,Catholic,83,0,13,2,19,8
Abbey Park High School,Public,93,1,14,1,44,9
Acton District High School,Public,80,2,5,5,10,0
Aldershot High School,Public,78,-8,9,5,19,2
Burlington Central High School,Public,78,-5,15,4,32,11
Craig Kielburger Secondary School,Public,75,-5,11,5,39,8
Dr. Frank J. Hayden Secondary School,Public,87,0,8,1,29,2
Garth Webb Secondary School,Public,93,0,12,2,42,9
Georgetown District High School,Public,80,-2,5,2,11,1
Iroquois Ridge High School,Public,94,1,14,0,49,7
M M Robinson High School,Public,76,-1,8,4,15,1
Milton District High School,Public,91,4,12,2,41,3
Nelson High School,Public,85,-5,8,1,15,1
Oakville Trafalgar High School,Public,92,-2,9,0,36,9
Thomas A Blakelock High School,Public,83,-4,12,2,35,6
White Oaks High School,Public,92,1,15,2,66,12
Bishop Ryan Catholic Secondary School,Catholic,82,-1,14,5,18,5
Bishop Tonnos Catholic Secondary School,Catholic,82,-3,10,4,11,2
Cathedral High School,Catholic,68,10,33,20,30,13
St. Jean de Brebeuf Catholic Secondary School,Catholic,78,3,19,9,25,8
St. John Henry Newman Catholic Secondary School,Catholic,74,-11,12,8,15,2
St. Mary Catholic Secondary School,Catholic,81,-5,11,3,11,3
St. Thomas More Catholic Secondary School,Catholic,82,3,16,7,26,9
Ancaster High School,Public,83,-4,9,4,19,3
Dundas Valley Secondary School,Public,79,-1,9,1,6,1
Glendale Secondary School,Public,67,3,25,9,43,11
Orchard Park Secondary School,Public,87,7,11,7,40,2
Saltfleet High School,Public,81,8,12,4,31,2
Sherwood Secondary School,Public,64,-2,18,7,12,1
Sir Allan MacNab Secondary School,Public,60,-4,18,8,22,3
Sir Winston Churchill Secondary School,Public,49,-11,30,17,12,1
Waterdown District High School,Public,81,-2,7,1,9,0
Westdale Secondary School,Public,84,-2,21,8,33,9
Westmount Secondary School,Public,88,-1,16,7,33,2
Bayside Secondary School,Public,81,0,11,5,7,1
Centennial Secondary School,Public,58,-18,16,7,6,1
Central Hastings School Secondary School,Public,69,17,25,5,0,0
Eastside Secondary School,Public,60,-2,15,7,7,1
North Hastings High School,Public,80,23,15,10,0,0
Prince Edward Collegiate Institute,Public,63,-6,18,2,1,0
Trenton High School,Public,58,-6,20,11,2,1
St Anne's Catholic Secondary School,Catholic,67,-17,9,7,3,1
St Michael Catholic Secondary School,Catholic,79,-3,8,4,2,1
St Mary's College Separate School,Catholic,80,8,14,6,2,2
Northern Lights Secondary School,Public,69,63,15,15,0,0
Adam Scott Collegiate and Vocational Institute,Public,84,14,15,6,4,1
Bowmanville High School,Public,73,-4,8,3,4,0
Campbellford District High School,Public,72,-3,18,8,1,1
Clarington Central Secondary School,Public,76,7,8,2,5,0
Clarke High School,Public,87,3,5,0,0,0
Cobourg Collegiate Institute,Public,88,10,10,1,1,2
Courtice Secondary School,Public,76,-5,5,3,5,2
Crestwood Secondary School,Public,66,-8,7,2,3,1
East Northumberland Secondary School,Public,68,-3,10,5,1,1
Kenner Collegiate and Vocational Institute,Public,73,11,20,10,10,0
Norwood District High School,Public,60,-10,20,10,0,0
Port Hope High School,Public,69,9,10,0,5,0
Thomas A Stewart Secondary School,Public,74,2,14,3,6,5
Beaver Brae Secondary School,Public,62,-5,7,7,1,1
Dryden High School,Public,59,-6,8,6,1,1
Red Lake District High School,Public,58,-14,0,20,0,0
Sioux North District High School,Public,29,-9,5,20,0,0
St Thomas Aquinas High School,Catholic,66,-8,10,5,0,0
Hammarskjold High School,Public,78,1,16,8,4,2
Superior Collegiate and Vocational Institute,Public,78,-1,14,5,8,3
Westgate Collegiate and Vocational Institute,Public,82,-3,12,8,2,0
Alexander Mackenzie Secondary School,Public,20,-14,20,0,0,0
Blenheim District High School,Public,59,-9,15,10,0,0
Chatham-Kent Secondary School,Public,81,0,16,7,8,3
Great Lakes Secondary School,Public,69,-1,22,5,4,1
John McGregor Secondary School,Public,74,0,19,6,6,1
Lambton Central Collegiate and Vocational Institute,Public,78,-4,9,2,4,1
Lambton Kent Composite School,Public,78,6,10,20,5,0
North Lambton Secondary School,Public,74,-9,10,3,2,1
Northern Collegiate Institute and Vocational School,Public,86,-6,10,2,9,2
Ridgetown District High School,Public,67,3,10,15,10,0
Tilbury District High School,Public,60,4,10,25,45,0
Wallaceburg District Secondary School,Public,57,-7,19,12,2,0
Bayridge Secondary School,Public,73,-8,7,2,10,2
Ernestown Secondary School,Public,74,-10,5,5,0,0
Frontenac Secondary School,Public,85,-1,8,2,5,1
Granite Ridge Education Centre Secondary School,Public,62,-12,20,15,0,0
La Salle Secondary School,Public,66,-16,5,2,4,1
Loyalist Collegiate and Vocational Institute,Public,78,2,24,6,21,10
Napanee District Secondary School,Public,64,-5,15,4,1,1
North Addington Education Centre,Public,67,26,30,20,0,0
Sydenham High School,Public,72,-1,7,2,0,1
Catholic Central High School,Catholic,85,11,24,9,28,20
Holy Cross Catholic Secondary School,Catholic,67,-11,5,0,0,0
John Paul II Catholic Secondary School,Catholic,72,2,25,14,19,13
Mother Teresa Catholic Secondary School,Catholic,89,-4,16,5,21,3
Regina Mundi College,Catholic,77,9,22,8,15,4
St Joseph's High School,Catholic,81,1,11,6,2,1
St Mary's High School,Catholic,71,-11,9,7,4,2
St Thomas Aquinas Secondary School,Catholic,89,-1,11,2,6,3
St. Andre Bessette Secondary School,Catholic,80,-8,18,3,19,6
Almaguin Highlands Secondary School,Public,69,8,21,9,2,1
Chippewa Secondary School,Public,72,-16,16,4,6,2
F J McElligott Secondary School,Public,55,-1,10,10,0,0
Northern Secondary School,Public,53,-15,15,10,0,0
Parry Sound High School,Public,61,-9,15,5,1,0
West Ferris Secondary School,Public,68,-12,17,4,4,1
Blessed Trinity Catholic Secondary School,Catholic,86,0,8,2,5,0
Denis Morris Catholic High School,Catholic,76,-9,18,8,14,4
Holy Cross Catholic Secondary School,Catholic,77,-5,16,7,18,5
Lakeshore Catholic High School,Catholic,84,-4,17,5,5,2
Notre Dame College School,Catholic,83,-1,16,4,7,3
Saint Francis Catholic Secondary School,Catholic,82,-6,15,5,17,6
Saint Michael Catholic High School,Catholic,89,7,17,6,25,6
Saint Paul Catholic High School,Catholic,75,-3,14,5,14,3
St Joseph-Scollard Hall Secondary School,Catholic,78,-2,14,5,1,1
O'Gorman High School,Catholic,69,4,10,5,10,0
All Saints Catholic High School,Catholic,92,6,7,1,11,2
Holy Trinity Catholic High School,Catholic,85,-6,8,1,19,5
Immaculata High School,Catholic,83,-4,28,9,19,7
Lester B Pearson Catholic High School,Catholic,71,9,27,7,42,27
Notre Dame High School,Catholic,74,0,30,15,40,10
Sacred Heart High School,Catholic,89,-1,4,0,4,1
St Joseph High School,Catholic,86,-7,9,2,18,3
St Mark High School,Catholic,83,-4,6,1,4,1
St Matthew High School,Catholic,92,-2,8,3,15,3
St Patrick's High School,Catholic,81,6,33,15,43,20
St Paul High School,Catholic,85,6,20,5,20,5
St Peter High School,Catholic,79,-8,7,2,12,3
St Pius X High School,Catholic,76,-2,18,8,30,18
St. Francis Xavier (9-12) Catholic School,Catholic,87,-3,14,5,27,8
St. Mother Teresa High School,Catholic,88,2,9,2,22,8
A.Y. Jackson Secondary School,Public,86,-5,7,2,23,3
Bell High School,Public,81,1,19,6,50,15
Brookfield High School,Public,76,-2,22,10,52,15
Cairine Wilson Secondary School,Public,85,0,8,2,20,4
Canterbury High School,Public,94,3,13,5,16,1
Colonel By Secondary School,Public,98,3,10,1,37,4
Earl of March Secondary School,Public,94,2,10,1,41,6
Glebe Collegiate Institute,Public,85,-1,13,5,19,7
Gloucester High School,Public,74,0,28,10,54,22
Hillcrest High School,Public,74,-1,23,13,36,4
John McCrae Secondary School,Public,88,-4,9,2,31,3
Lisgar Collegiate Institute,Public,96,0,22,3,32,8
Longfields Davidson Heights Secondary School,Public,89,1,10,2,37,5
Merivale High School,Public,88,1,11,4,27,5
Nepean High School,Public,90,-4,13,2,14,3
Osgoode Township High School,Public,82,-9,5,0,0,0
Ridgemont High School,Public,55,-10,34,18,61,27
Sir Guy Carleton Secondary School,Public,28,-19,20,5,10,0
Sir Robert Borden High School,Public,89,3,12,6,24,3
Sir Wilfrid Laurier Secondary School,Public,83,2,7,2,28,3
South Carleton High School,Public,83,-2,6,0,6,1
West Carleton Secondary School,Public,85,-5,5,2,21,3
Woodroffe High School,Public,76,5,26,13,44,23
Applewood Heights Secondary School,Public,91,5,19,6,55,7
Bramalea Secondary School,Public,69,0,20,12,46,14
Brampton Centennial Secondary School,Public,83,6,14,6,50,5
Castlebrooke Secondary School,Public,86,7,12,14,68,4
Cawthra Park Secondary School,Public,87,-5,15,4,30,2
Central Peel Secondary School,Public,80,4,16,10,54,15
Chinguacousy Secondary School,Public,86,2,13,8,66,6
Clarkson Secondary School,Public,86,5,16,4,42,6
David Suzuki Secondary School,Public,76,7,13,8,52,8
Erindale Secondary School,Public,90,20,21,6,55,8
Fletcher's Meadow Secondary School,Public,81,6,11,8,55,9
Glenforest Secondary School,Public,88,-3,27,9,72,10
Harold M. Brathwaite Secondary School,Public,87,5,12,8,71,6
Heart Lake Secondary School,Public,72,-4,10,8,39,7
Humberview Secondary School,Public,85,2,7,6,24,0
Jean Augustine Secondary School,Public,83,0,13,4,60,7
John Fraser Secondary School,Public,93,1,19,1,71,16
Judith Nyman Secondary School,Public,4,3,15,10,20,0
Lincoln M. Alexander Secondary School,Public,72,14,21,19,59,15
Lorne Park Secondary School,Public,90,-5,12,4,27,2
Louise Arbour Secondary School,Public,77,-4,10,9,71,7
Mayfield Secondary School,Public,86,1,8,5,25,0
Meadowvale Secondary School,Public,79,-2,11,4,52,9
Mississauga Secondary School,Public,82,5,14,9,75,7
North Park Secondary School,Public,89,7,12,8,62,4
Port Credit Secondary School,Public,92,6,21,4,45,10
Rick Hansen Secondary School,Public,83,0,18,6,73,12
Sandalwood Heights Secondary School,Public,81,6,10,10,71,8
Stephen Lewis Secondary School,Public,87,0,21,2,78,18
Streetsville Secondary School,Public,91,-3,13,4,39,2
T. L. Kennedy Secondary School,Public,83,8,28,7,75,29
The Woodlands Secondary School,Public,93,3,18,5,63,8
Turner Fenton Secondary School,Public,84,5,14,9,59,2
West Credit Secondary School,Public,20,10,21,6,35,3
Holy Cross Catholic Secondary School,Catholic,73,4,16,5,5,2
Holy Trinity Catholic Secondary School,Catholic,78,1,6,3,3,1
St. Mary Catholic Secondary School,Catholic,76,-2,12,2,2,1
St. Peter Catholic Secondary School,Catholic,73,-9,13,3,5,2
St. Stephen Catholic Secondary School,Catholic,77,-2,8,2,3,1
St. Thomas Aquinas Catholic Secondary School,Catholic,64,-2,10,10,0,0
Chelmsford Valley District Composite School,Public,48,-6,10,0,0,0
Confederation Secondary School,Public,61,3,5,0,0,0
Espanola High School,Public,55,-18,10,10,0,0
Lasalle Secondary School,Public,69,-7,18,2,1,1
Lively District Secondary School,Public,67,-8,5,5,5,0
Lo-Ellen Park Secondary School,Public,88,3,8,1,4,2
Lockerby Composite School,Public,90,-5,10,0,5,0
Manitoulin Secondary School,Public,57,-9,5,10,0,0
Sudbury Secondary School,Public,73,-1,25,0,0,0
Atikokan High School,Public,83,7,10,0,0,0
Fort Frances High School,Public,62,0,11,8,5,1
Rainy River High School,Public,69,-8,10,10,0,0
Bishop Smith Catholic High School,Catholic,70,-15,11,4,1,0
St Joseph's High School,Catholic,83,-7,10,5,0,0
Arnprior District High School,Public,86,-1,14,3,2,1
Fellowes High School,Public,59,-13,13,5,2,0
Mackenzie Community School - Secondary School,Public,82,-2,10,0,10,0
Madawaska Valley District High School,Public,68,0,10,10,0,0
Opeongo High School,Public,67,-7,10,5,5,0
Renfrew Collegiate Institute,Public,79,16,15,10,0,0
Valour JK to 12 School - Secondary School,Public,57,-23,0,5,0,0
Banting Memorial District High School,Public,75,-13,8,5,4,1
Barrie North Collegiate Institute,Public,76,-1,17,7,5,2
Bear Creek Secondary School,Public,76,-3,10,3,7,2
Bradford District High School,Public,88,4,12,7,21,4
Collingwood Collegiate Institute,Public,89,2,15,7,4,1
Eastview Secondary School,Public,89,1,11,8,7,1
Elmvale District High School,Public,85,-8,10,0,0,0
Georgian Bay District Secondary School,Public,64,-9,12,5,1,0
Innisdale Secondary School,Public,79,-10,10,3,9,2
Nantyr Shores Secondary School,Public,84,-5,11,9,6,1
Nottawasaga Pines Secondary School,Public,65,-9,8,6,5,1
Orillia Secondary School,Public,82,6,12,8,2,0
Stayner Collegiate Institute,Public,71,-8,10,5,0,0
Twin Lakes Secondary School,Public,58,-15,12,6,2,0
Holy Trinity Catholic High School,Catholic,81,4,11,7,15,2
Our Lady of the Bay Catholic High School,Catholic,81,8,10,0,5,0
Patrick Fogarty Catholic Secondary School,Catholic,76,-3,11,7,1,0
St Dominic Catholic Secondary School,Catholic,70,-2,10,0,0,0
St Joan of Arc High School,Catholic,70,-5,8,3,5,2
St Joseph's Separate School,Catholic,72,-8,14,9,5,3
St Peter's Secondary School,Catholic,78,1,10,6,5,2
St Theresa's Separate School,Catholic,68,-10,12,5,1,1
St Thomas Aquinas Catholic Secondary School,Catholic,74,-2,7,5,4,3
