school_name,school_type,osslt10,ossltchange,low_inc,no_deg,esl,imm
Central Algoma Secondary School,Public,71,5,20,5,0,0
Chapleau High School,Public,53,-7,0,10,0,0
Elliot Lake Secondary School,Public,61,-14,20,5,0,0
Korah Collegiate and Vocational School,Public,68,-6,12,6,3,1
Michipicoten High School,Public,57,1,10,5,5,0
Superior Heights Collegiate and Vocational School,Public,72,4,16,5,2,1
W C Eaket Secondary School,Public,57,-5,20,10,0,0
White Pines Collegiate and Vocational School,Public,58,6,15,5,10,10
Holy Cross Catholic Secondary School,Catholic,77,-4,8,1,4,1
Nicholson Catholic College,Catholic,86,-5,20,0,5,5
Regiopolis/Notre-Dame Catholic High School,Catholic,87,-1,15,4,10,4
St Paul Catholic Secondary School,Catholic,83,4,10,5,0,0
St Theresa Catholic Secondary School,Catholic,65,-11,12,4,2,1
Central Huron Secondary School,Public,56,-18,10,0,5,0
F E Madill Secondary School,Public,75,8,17,19,2,0
Goderich District Collegiate Institute,Public,81,4,10,5,5,0
Listowel District Secondary School,Public,77,3,8,19,14,1
Mitchell District High School,Public,94,9,10,5,5,0
South Huron District High School,Public,64,-21,10,5,0,0
St Marys D.C. & V. I. High School,Public,72,1,5,0,5,0
Bruce Peninsula District School,Public,46,-21,20,20,0,0
Georgian Bay Community School Secondary School,Public,80,-7,10,0,5,0
Grey Highlands Secondary School,Public,67,-11,12,11,2,0
John Diefenbaker Senior School,Public,74,-8,11,14,1,1
Kincardine District Secondary School,Public,70,-2,9,5,4,0
Owen Sound District Secondary School Secondary School,Public,91,17,15,6,5,2
Peninsula Shores District School,Public,81,12,10,5,5,5
Saugeen District Secondary School,Public,91,4,12,6,9,1
Walkerton District Community School,Public,70,-10,15,10,0,0
Assumption College School High School,Catholic,79,0,12,4,1,2
Holy Trinity Catholic High School,Catholic,83,-5,10,8,4,3
St John's College,Catholic,86,3,11,4,4,1
Sacred Heart High School,Catholic,80,-3,11,10,3,1
St Mary's High School,Catholic,63,-5,13,7,2,1
Holy Trinity Catholic Secondary School,Catholic,81,10,19,7,14,0
Notre Dame Catholic High School,Catholic,78,-6,9,2,4,0
St Francis Xavier Catholic High School,Catholic,58,-33,10,0,5,0
St John Catholic High School,Catholic,81,-7,15,0,5,0
St Joseph's Secondary School,Catholic,85,8,17,8,8,2
St Mary's High School,Catholic,90,-1,15,5,0,0
St Michael High School,Catholic,91,-9,5,0,5,0
St. Luke Catholic High School,Catholic,8,-23,10,0,0,0
St. Thomas Aquinas Catholic High School,Catholic,91,6,5,0,0,0
Ecole secondaire publique De La Salle,Public,96,-2,20,6,75,6
Ecole secondaire publique Gisele-Lalonde,Public,92,-4,11,3,85,3
Ecole secondaire publique L'Heritage,Public,79,-7,20,10,60,0
Ecole secondaire publique Le Sommet,Public,97,-3,15,5,90,0
Ecole secondaire publique Louis-Riel,Public,96,2,22,8,86,5
Ecole secondaire publique Marc-Garneau,Public,100,0,0,10,60,0
Ecole secondaire publique Maurice-Lapointe,Public,94,-6,10,0,75,5
Ecole secondaire publique Omer-Deslauriers,Public,87,1,30,15,90,10
College francais secondaire,Public,100,3,25,10,75,10
Ecole secondaire Etienne-Brule,Public,91,4,30,10,75,10
Ecole secondaire Franco-Niagara,Public,80,-20,20,10,50,0
Ecole secondaire Gabriel-Dumont,Public,89,-11,15,10,35,0
Ecole secondaire Gaetan Gervais,Public,96,3,20,5,75,5
Ecole secondaire Georges-P-Vanier,Public,83,4,30,10,60,10
