school_name,school_type,osslt10,low_inc,no_deg,esl,imm
École secondaire catholique École secondaire Monseigneur-Bruyère,Catholic,88,20,5,45,5
École secondaire catholique École secondaire Notre-Dame,Catholic,84,10,10,20,0
École secondaire catholique École secondaire Saint-François-Xavier,Catholic,86,10,0,20,0
École secondaire catholique École secondaire de Pain Court,Catholic,84,10,10,15,0
École secondaire publique De La Salle,Public,97,20,5,74,5
École secondaire publique Gisèle-Lalonde,Public,93,12,3,86,4
École secondaire publique L'Académie de la Seigneurie,Public,90,5,0,80,0
École secondaire publique L'Alternative,Public,56,30,10,90,10
École secondaire publique L'Héritage,Public,89,20,10,60,0
École secondaire publique Le Sommet,Public,89,20,5,85,0
École secondaire publique Louis-Riel,Public,97,21,8,86,3
École secondaire publique Marc-Garneau,Public,91,0,0,60,0
École secondaire publique Maurice-Lapointe,Public,97,10,5,70,5
École secondaire publique Mille-Iles,Public,96,10,0,60,0
École secondaire publique Omer-Deslauriers,Public,68,35,20,90,5
École secondaire publique Pierre-de-Blois,Public,97,10,5,85,10
A N Myer Secondary School,Public,92,12,6,9,1
DSBN Academy,Public,85,20,10,10,0
E L Crossley Secondary School,Public,93,5,2,3,0
Eastdale Secondary School,Public,75,30,10,5,0
Eden High School,Public,92,14,4,12,2
Governor Simcoe Secondary School,Public,84,11,6,5,0
Greater Fort Erie Secondary School,Public,83,18,6,4,1
Laura Secord Secondary School,Public,87,21,9,7,4
Port Colborne High School,Public,78,15,5,0,0
Sir Winston Churchill Secondary School,Public,95,16,7,15,3
St Catharines Collegiate Institute and Vocational School,Public,64,26,13,15,10
Stamford Collegiate,Public,81,20,7,8,4
Thorold Secondary School,Public,71,19,7,6,3
Welland Centennial Secondary School,Public,86,13,3,9,3
Westlane Secondary School,Public,80,17,6,28,5
Cochrane High School,Public,58,10,15,0,0
Englehart High School,Public,70,20,15,0,0
Iroquois Falls Secondary School,Public,78,20,5,0,0
Kapuskasing District High School,Public,74,20,5,5,0
Kirkland Lake District Composite Secondary School,Public,70,20,0,0,0
Roland Michener Secondary School,Public,73,15,5,0,0
Timiskaming District Secondary School,Public,79,13,7,2,1
Timmins High and Vocational School,Public,72,12,9,3,0
Ascension of Our Lord Secondary School,Catholic,73,22,16,30,6
Cardinal Ambrozic Catholic Secondary School,Catholic,92,11,10,32,4
Cardinal Leger Secondary School,Catholic,80,15,7,25,3
Father Michael Goetz Secondary School,Catholic,71,28,8,51,15
Holy Name of Mary Secondary School,Catholic,89,15,9,49,3
Iona Secondary School,Catholic,84,17,4,31,5
John Cabot Catholic Secondary School,Catholic,81,23,6,46,9
Loyola Catholic Secondary School,Catholic,90,17,7,33,4
Notre Dame Catholic Secondary School,Catholic,85,13,7,23,6
Our Lady of Mount Carmel Secondary School,Catholic,89,10,3,25,5
Philip Pocock Catholic Secondary School,Catholic,89,19,6,45,5
Robert F Hall Catholic Secondary School,Catholic,87,7,5,9,1
St Aloysius Gonzaga Secondary School,Catholic,87,17,2,30,3
