school_name,school_type,osslt10,low_inc,no_deg,esl,imm
St Patrick High School,Catholic,78,12,5,3,1
Bishop Allen Academy Catholic Secondary School,Catholic,96,14,5,28,2
Bishop Marrocco/Thomas Merton Catholic Secondary School,Catholic,80,24,20,47,12
Brebeuf College School,Catholic,84,27,6,45,12
Cardinal Carter Academy for the Arts,Catholic,96,20,6,24,2
Chaminade College School,Catholic,80,20,16,24,3
Dante Alighieri Academy,Catholic,68,22,18,59,15
Father Henry Carr Catholic Secondary School,Catholic,70,29,26,29,13
Father John Redmond Catholic Secondary School,Catholic,93,15,5,21,3
Francis Libermann Catholic High School,Catholic,77,25,13,39,9
James Cardinal McGuigan Catholic High School,Catholic,83,31,23,45,18
Loretto Abbey Catholic Secondary School,Catholic,87,18,8,29,4
Loretto College School,Catholic,86,25,20,35,5
Madonna Catholic Secondary School,Catholic,76,25,19,45,16
Marshall McLuhan Catholic Secondary School,Catholic,84,22,11,54,8
Mary Ward Catholic Secondary School,Catholic,94,24,11,36,4
Michael Power/St Joseph High School,Catholic,87,17,7,27,4
Monsignor Percy Johnson Catholic High School,Catholic,79,25,20,33,10
Msgr Fraser College (Isabella Campus),Catholic,71,25,10,45,15
Msgr Fraser-Midland,Catholic,44,30,10,50,10
Neil McNeil High School,Catholic,92,19,7,15,3
Notre Dame Catholic High School,Catholic,97,24,9,26,3
Senator O'Connor College School,Catholic,91,26,8,39,8
St Basil-the-Great College School,Catholic,67,25,22,37,10
St Joan of Arc Catholic Academy,Catholic,69,28,13,48,19
St John Henry Newman Catholic High School,Catholic,80,26,11,29,6
St John Paul II Catholic Secondary School,Catholic,92,20,9,33,4
St Joseph Morrow Park Catholic Secondary School,Catholic,84,25,0,50,15
St Joseph's College School,Catholic,92,25,13,34,3
St Mary Catholic Academy,Catholic,81,24,19,43,10
St Michael's Choir (Sr) School,Catholic,100,20,10,30,0
St Mother Teresa Catholic Academy,Catholic,72,25,15,30,15
St Oscar Romero Catholic Secondary School,Catholic,59,24,23,54,13
St Patrick Catholic Secondary School,Catholic,87,33,12,38,13
A Y Jackson Secondary School,Public,91,24,4,65,7
Agincourt Collegiate Institute,Public,94,25,16,63,3
Albert Campbell Collegiate Institute,Public,83,24,18,76,10
Birchmount Park Collegiate Institute,Public,80,30,10,39,7
Bloor Collegiate Institute,Public,92,23,12,48,2
C W Jefferys Collegiate Institute,Public,72,29,25,55,13
Cedarbrae Collegiate Institute,Public,76,34,14,52,9
Central Technical School,Public,65,30,18,34,10
Central Toronto Academy,Public,94,20,11,24,5
Danforth Collegiate Institute and Technical School,Public,73,27,8,40,3
David and Mary Thomson Collegiate Institute,Public,66,31,16,56,14
Don Mills Collegiate Institute,Public,85,28,9,52,6
Downsview Secondary School,Public,68,30,20,55,30
Dr Norman Bethune Collegiate Institute,Public,95,25,13,81,9
Earl Haig Secondary School,Public,95,32,3,54,13
East York Collegiate Institute,Public,82,27,9,35,5
Emery Collegiate Institute,Public,65,28,23,55,18
Etobicoke Collegiate Institute,Public,90,16,4,32,6
Etobicoke School of the Arts,Public,96,13,6,10,1
Forest Hill Collegiate Institute,Public,96,15,5,30,8
George S Henry Academy,Public,73,35,10,65,20
Georges Vanier Secondary School,Public,81,30,6,65,21
Harbord Collegiate Institute,Public,94,20,9,27,3
Humberside Collegiate Institute,Public,95,12,4,16,1
Jarvis Collegiate Institute,Public,83,44,13,67,9
John Polanyi Collegiate Institute,Public,78,25,15,50,15
Kipling Collegiate Institute,Public,62,33,21,61,18
L'Amoreaux Collegiate Institute,Public,81,30,15,60,10
Lakeshore Collegiate Institute,Public,84,20,10,30,7
Lawrence Park Collegiate Institute,Public,96,11,2,15,3
Leaside High School,Public,95,15,4,26,2
Lester B Pearson Collegiate Institute,Public,82,21,12,60,7
Malvern Collegiate Institute,Public,94,11,2,8,2
Marc Garneau Collegiate Institute,Public,66,46,17,83,12
Martingrove Collegiate Institute,Public,88,22,13,40,4
Monarch Park Collegiate Institute,Public,94,22,7,25,2
Newtonbrook Secondary School,Public,75,27,6,62,23
North Albion Collegiate Institute,Public,74,28,25,58,10
North Toronto Collegiate Institute,Public,94,17,2,29,12
Northern Secondary School,Public,92,16,3,19,4
Northview Heights Secondary School,Public,86,25,9,60,12
Oakwood Collegiate Institute,Public,83,25,15,20,0
Parkdale Collegiate Institute,Public,85,26,16,45,4
R H King Academy,Public,89,23,6,51,4
Richview Collegiate Institute,Public,92,15,7,23,0
Riverdale Collegiate Institute,Public,96,24,10,27,0
Rosedale Heights School of the Arts,Public,98,19,7,10,1
Runnymede Collegiate Institute,Public,78,30,15,30,0
SATEC @ W A Porter Collegiate Institute,Public,93,25,8,64,4
School of Experiential Education,Public,50,35,20,25,0
Silverthorn Collegiate Institute,Public,83,17,6,24,6
Sir John A Macdonald Collegiate Institute,Public,86,24,8,56,10
Sir Oliver Mowat Collegiate Institute,Public,84,10,4,16,2
Sir Wilfrid Laurier Collegiate Institute,Public,85,29,13,53,6
Stephen Leacock Collegiate Institute,Public,67,30,10,60,15
Thistletown Collegiate Institute,Public,65,27,16,41,10
Ursula Franklin Academy,Public,99,13,6,26,2
Victoria Park Collegiate Institute,Public,85,28,8,57,5
West Hill Collegiate Institute,Public,77,26,9,36,11
West Humber Collegiate Institute,Public,84,23,21,56,6
Western Technical & Commercial School,Public,88,19,10,21,3
Weston Collegiate Institute,Public,63,32,21,44,10
Westview Centennial Secondary School,Public,49,37,32,42,12
Wexford Collegiate School for the Arts,Public,89,24,7,31,6
William Lyon Mackenzie Collegiate Institute,Public,93,19,4,46,10
Winston Churchill Collegiate Institute,Public,65,32,11,52,10
Woburn Collegiate Institute,Public,75,29,14,62,6
York Memorial Collegiate Institute,Public,70,26,21,47,3
York Mills Collegiate Institute,Public,88,22,3,43,7
AAEC's/e-Learning,Public,88,15,7,10,1
Bracebridge and Muskoka Lakes Secondary School,Public,85,12,2,2,1
Fenelon Falls Secondary School,Public,78,16,11,1,0
Gravenhurst High School,Public,80,15,10,0,0
Haliburton Highland Secondary School,Public,87,15,10,0,0
Huntsville High School,Public,84,13,5,2,0
I E Weldon Secondary School,Public,87,13,5,1,1
Lindsay Collegiate and Vocational Institute,Public,83,11,4,1,0
Almonte District High School,Public,83,5,0,0,0
Athens District High School,Public,80,10,0,5,0
Brockville Collegiate Institute,Public,83,15,5,5,0
Carleton Place High School,Public,80,9,2,0,0
Charlottenburgh and Lancaster District High School,Public,98,10,10,5,0
Cornwall Collegiate and Vocational School,Public,60,23,11,8,2
Gananoque Secondary School,Public,84,10,5,0,0
Glengarry District High School,Public,67,20,0,5,0
North Dundas District High School,Public,94,10,0,0,0
North Grenville District High School,Public,77,8,1,1,0
Perth and District Collegiate Institute,Public,77,16,2,1,0
Rideau District High School,Public,79,10,5,0,0
Rockland District High School,Public,80,5,5,5,0
Russell High School,Public,78,5,0,10,0
Seaway District High School,Public,66,20,0,5,0
Smiths Falls District Collegiate Institute,Public,76,17,4,4,0
South Grenville District High School,Public,75,10,5,0,0
St Lawrence Secondary School,Public,53,30,5,10,0
T R Leger School of Adult & Continuing Secondary School,Public,69,17,5,3,1
Tagwi Secondary School,Public,76,10,5,0,0
Thousand Islands Secondary School,Public,83,17,4,2,1
Vankleek Hill Collegiate Institute,Public,76,20,5,10,0
Centennial Collegiate and Vocational Institute,Public,94,9,1,23,2
Centre Dufferin District High School,Public,73,11,2,4,1
Centre Wellington District High School,Public,89,8,5,2,0
College Heights Secondary School,Public,52,20,5,5,0
Erin District High School,Public,97,0,0,0,0
Guelph Collegiate and Vocational Institute,Public,95,10,5,27,2
John F Ross Collegiate and Vocational Institute,Public,91,11,4,18,5
Norwell District Secondary School,Public,76,11,27,11,0
Orangeville District Secondary School,Public,85,10,5,6,1
Wellington Heights Secondary School,Public,82,10,15,0,0
Westside Secondary School,Public,86,6,2,6,1
Monsignor Doyle Catholic Secondary School,Catholic,86,10,7,10,1
Resurrection Catholic Secondary School,Catholic,83,17,7,31,10
St Benedict Catholic Secondary School,Catholic,81,9,5,20,2
St David Catholic Secondary School,Catholic,90,11,7,20,4
St Mary's High School,Catholic,81,14,6,33,11
Bluevale Collegiate Institute,Public,85,9,4,20,1
Cameron Heights Collegiate Institute,Public,88,16,8,45,2
Eastwood Collegiate Institute,Public,83,19,10,38,14
Elmira District Secondary School,Public,87,8,29,21,0
Forest Heights Collegiate Institute,Public,76,17,9,43,11
Galt Collegiate and Vocational Institute,Public,82,14,11,27,7
Glenview Park Secondary School,Public,80,14,8,19,0
Grand River Collegiate Institute,Public,83,7,7,25,1
Huron Heights Secondary School,Public,86,9,3,32,3
Jacob Hespeler Secondary School,Public,87,7,4,14,1
Kitchener Waterloo Collegiate and Vocational School,Public,85,14,6,19,1
Laurel Heights Secondary School,Public,95,13,3,41,4
Preston High School,Public,80,10,4,18,1
Southwood Secondary School,Public,82,7,6,4,1
Waterloo Collegiate Institute,Public,85,18,8,47,16
Waterloo-Oxford District Secondary School,Public,82,6,6,3,0
Bishop Macdonell Catholic Secondary School,Catholic,93,7,1,10,3
Our Lady of Lourdes Catholic School,Catholic,86,13,8,34,13
St James Catholic School,Catholic,81,9,5,6,2
Assumption College School,Catholic,88,29,9,38,7
Cardinal Carter Catholic Secondary School,Catholic,89,13,18,14,4
Catholic Central,Catholic,89,41,19,77,49
F J Brennan Catholic High School,Catholic,90,22,8,13,3
Holy Names Catholic High School,Catholic,91,19,6,20,1
St Anne Secondary School,Catholic,92,6,2,8,1
St Joseph's High School,Catholic,87,19,7,30,4
St Thomas of Villanova Secondary School,Catholic,97,7,3,4,0
Cardinal Carter Catholic Secondary School,Catholic,87,11,3,20,1
Father Bressani Catholic High School,Catholic,88,8,6,11,1
Father Michael McGivney Catholic High School,Catholic,93,17,11,40,4
Holy Cross Catholic Academy High School,Catholic,79,10,8,12,1
Our Lady Queen of the World CA High School,Catholic,90,20,2,41,10
Our Lady of the Lake Catholic Academy High School,Catholic,82,10,10,10,0
Sacred Heart Catholic High School,Catholic,86,11,4,30,6
St Augustine Catholic High School,Catholic,96,17,6,36,4
St Brother André Catholic High School,Catholic,91,11,5,19,2
St Elizabeth Catholic High School,Catholic,94,12,4,24,5
St Jean de Brebeuf Catholic High School,Catholic,87,11,9,16,1
St Joan of Arc Catholic High School,Catholic,86,10,5,19,6
St Maximilian Kolbe High School,Catholic,87,10,2,13,1
St Robert Catholic High School,Catholic,98,19,2,60,6
St Theresa of Lisieux Catholic High School,Catholic,97,13,2,35,1
Alexander MacKenzie High School,Public,93,18,2,51,9
Aurora High School,Public,94,11,3,27,3
Bayview Secondary School,Public,95,23,3,66,15
Bill Crothers Secondary School,Public,96,13,5,10,0
Bill Hogarth Secondary School,Public,95,12,5,40,3
Bur Oak Secondary School,Public,96,16,9,66,6
Dr G W Williams Secondary School,Public,95,11,3,43,5
Dr John M Denison Secondary School,Public,86,11,3,32,5
Emily Carr Secondary School,Public,90,7,5,22,3
Hodan Nalayeh Secondary School,Public,97,10,4,52,3
Huron Heights Secondary School,Public,85,10,5,11,2
Keswick High School,Public,79,11,7,6,1
King City Secondary School,Public,91,9,2,26,4
Langstaff Secondary School,Public,80,20,0,70,20
Maple High School,Public,93,13,8,64,6
Markham District High School,Public,94,10,4,34,3
Markville Secondary School,Public,93,15,6,56,9
Middlefield Collegiate Institute,Public,91,20,13,83,5
Milliken Mills High School,Public,94,19,15,82,6
Newmarket High School,Public,97,11,5,32,3
Pierre Elliott Trudeau High School,Public,94,20,9,62,7
Richmond Green Secondary School,Public,94,17,3,57,8
Richmond Hill High School,Public,94,18,4,65,10
Sir William Mulock Secondary School,Public,86,10,1,28,3
Stephen Lewis Secondary School,Public,92,11,2,37,5
Stouffville District Secondary School,Public,93,10,5,28,2
Sutton District High School,Public,72,15,10,0,0
Thornhill Secondary School,Public,92,24,2,63,13
Thornlea Secondary School,Public,97,20,2,50,10
Tommy Douglas Secondary School,Public,92,11,9,51,4
Unionville High School,Public,95,22,6,65,9
Westmount Collegiate Institute,Public,94,12,1,31,2
Woodbridge College,Public,93,10,10,50,10
