year,lowest,highest,average
2000,183.29,777.76,542.3834619395203
2003,127.9198,814.8546,544.3702225993748
2006,126.2944,812.3154,546.0936270613563
2009,188.87,811.77,549.9682158362621
2012,181.3129,810.3693,555.3677352034262
2015,238.047,833.084,525.8920457174846
2018,185.493,776.831,519.3811873447077
