year,lowest,highest,average
2000,138.82,726,539.4055787278415
2003,57.3105,746.9286,513.6027266860206
2006,213.4776,784.109,539.1797329171152
2009,190.29,763.32,534.1593735786644
2012,160.3707,795.5113,544.8977346680942
2015,213.062,807.127,528.7178968091062
2018,164.2,823.462,527.325181547126
