year,lowest,highest,average
2000,196.13,789.16,563.3609697601669
2003,95.6068,881.0874,555.02040734703
2006,205.8654,819.6682,551.6238125296018
2009,154,826.23,555.4045751498862
2012,208.9967,828.9531,561.2740957601713
2015,236.617,831.889,550.0346758723642
2018,178.659,836.274,554.4202171608415
