year,lowest,highest,average
2000,180.88,841.79,522.7177633564745
2003,160.3365,859.2771,521.6318952777877
2006,139.6557,823.1734,517.4461210942329
2009,85.54,846.09,516.392386779851
2012,195.4432,828.4079,509.3289821852952
2015,201.91,810.875,504.3298683816931
2018,133.355,888.064,503.45027135478745
