year,lowest,highest,average
2000,160.28,808.66,550.5784147465438
2003,162.3844,817.2378,541.121751863354
2006,234.2518,810.6438,547.2232061306746
2009,146.44,802.88,530.9767194492255
2012,74.5626,827.7545,510.90553478310113
2015,73.377,778.198,527.8608614416866
2018,153.181,812.093,519.9439653035936
