year,lowest,highest,average
2000,167.89,766.93,420.0443171402383
2006,73.6097,726.8076,442.5532028664246
2009,144.29,730.83,451.6456218027871
2012,153.6181,782.3946,464.57282394982496
2015,186.832,732.876,464.98340507585425
2018,142.252,732.139,460.00786707781134
