year,lowest,highest,average
2000,48.82,628.09,384.186241979835
2006,79.6775,719.2631,417.45842759411426
2009,194.74,782.06,424.82054683365675
2012,172.3867,748.9562,444.41964426779464
2015,155.135,694.648,442.0900813838083
2018,110.694,753.036,434.27850124655555
