year,lowest,highest,average
2000,135.19,660.51,417.3755087076077
2006,0.1215,771.7155,447.8331989680871
2009,145.79,710.97,453.46686011642265
2012,186.1934,720.9304,459.99957227246205
2015,96.019,772.628,474.8886186020133
2018,146.713,763.463,469.8035635743341
