year,country,math,read,science
2000,CHL,260.97,318.74,362.74
2000,CHL,300.69,356.97,423.24
2000,CHL,345.69,334.2,347.4
2000,CHL,412.09,400.55,421.37
2000,CHL,305.27,420.59,390.77
2000,CHL,356.38,338.74,343.79
2000,CHL,431.94,395.1,294.18
2000,CHL,232.76,301.52,334.84
2000,CHL,286.19,412.41,453.91
2000,CHL,330.46,377.87,408.81
2000,CHL,467.04,450.54,391.6
2000,CHL,477.73,406,418.66
2000,CHL,257.16,314.2,392.5
2000,CHL,457.15,492.4,537.81
2000,CHL,554.85,551.48,530.59
2000,CHL,402.96,330.61,357.39
2000,CHL,435.75,387.82,359.13
2000,CHL,268.64,396.96,388.96
2000,CHL,441.09,406,399.72
2000,CHL,465.55,451.5,407.01
2000,CHL,400.67,492.4,517.06
2000,CHL,401.41,434.18,341.09
2000,CHL,488.45,510.58,516.16
2000,CHL,335.77,339.65,319.44
2000,CHL,519.71,461.45,378.07
2000,CHL,356.41,421.5,399.79
2000,CHL,315.96,352.42,297.86
2000,CHL,257.95,279.71,358.29
2000,CHL,280.08,407.87,392.57
2000,CHL,276.24,323.29,366.34
2000,CHL,344.93,314.2,358.23
2000,CHL,254.13,291.53,350.18
2000,CHL,380.8,346.92,289.67
2000,CHL,299.9,345.1,249.08
2000,CHL,273.21,349.7,374.53
2000,CHL,457.15,561.48,578.4
2000,CHL,410.57,412.37,417.76
2000,CHL,306.8,446.05,423.24
2000,CHL,532.68,478.72,365.44
2000,CHL,448.73,440.54,446.63
2000,CHL,270.93,382.42,475.56
2000,CHL,433.46,385.1,381.68
2000,CHL,339.58,322.38,314.02
2000,CHL,386.94,433.32,504.43
2000,CHL,360.96,404.18,435.8
2000,CHL,331.95,354.19,324.85
2000,CHL,351.06,490.58,575.69
2000,CHL,475.47,393.33,366.41
2000,CHL,435.02,467.86,401.59
2000,CHL,317.48,358.79,416.03
2000,CHL,292.3,453.32,456.62
2000,CHL,327.37,324.2,400.62
2000,CHL,376.22,402.37,324.85
2000,CHL,429.65,465.99,431.29
2000,CHL,481.55,423.27,384.39
2000,CHL,396.1,399.69,477.37
2000,CHL,420.49,357.83,426.78
2000,CHL,365.53,435.09,430.39
2000,CHL,411.36,377.87,401.59
2000,CHL,312.87,353.28,330.26
2000,CHL,379.27,407.82,438.51
2000,CHL,442.62,412.37,360.03
2000,CHL,399.88,439.63,348.3
2000,CHL,340.35,366.92,300.49
2000,CHL,343.43,442.41,471.05
2000,CHL,509.05,565.12,513.45
2000,CHL,368.62,448.77,418.73
2000,CHL,407.51,410.55,421.37
2000,CHL,396.86,467.86,551.34
2000,CHL,483.84,513.26,511.58
2000,CHL,459.41,401.46,376.27
2000,CHL,379.27,381.46,476.4
2000,CHL,345.69,338.74,298.69
2000,CHL,301.45,266.98,292.44
2000,CHL,355.64,377.87,365.51
2000,CHL,296.87,426.96,339.35
2000,CHL,358.7,428.78,458.42
2000,CHL,344.16,424.18,461.96
2000,CHL,494.52,531.44,464.67
2000,CHL,276.27,375.15,399.79
2000,CHL,270.16,402.42,424.15
2000,CHL,341.14,433.32,409.71
2000,CHL,360.96,398.73,323.95
2000,CHL,436.52,367.83,395.21
2000,CHL,393.04,482.4,443.09
2000,CHL,383.85,427.82,372.66
2000,CHL,341.91,356.06,378.14
2000,CHL,337.33,433.32,499.92
2000,CHL,399.88,286.02,319.44
2000,CHL,337.33,465.13,442.19
2000,CHL,368.59,323.29,310.42
2000,CHL,286.92,296.93,233.74
2000,CHL,370.91,410.6,450.31
2000,CHL,346.45,334.2,379.88
2000,CHL,412.12,473.31,450.31
2000,CHL,362.48,336.92,310.42
2000,CHL,494.55,518.76,467.44
2000,CHL,406.75,336.92,386.19
