year,lowest,highest,average
2000,222.4,775.39,537.6091889400922
2003,235.7377,812.9304,542.5086528467909
2006,182.1078,790.8475,549.9341353203224
2009,217.1,785.33,537.4809845094665
2012,169.3488,769.8317,507.5257762487258
2015,208.486,755.785,511.2831137368242
2018,201.235,799.765,508.1755231014339
