year,country,math,read,science
2000,FIN,417.43,475.08,462.87
2000,FIN,457.15,374.24,340.25
2000,FIN,348.01,524.21,490.9
2000,FIN,625.03,705.95,638.77
2000,FIN,454.07,456.9,418.66
2000,FIN,492.99,385.1,317.63
2000,FIN,448.76,460.59,540.51
2000,FIN,564.77,627.83,628.01
2000,FIN,425.83,512.35,451.14
2000,FIN,387.7,537.85,439.48
2000,FIN,430.44,456.95,436.77
2000,FIN,487.65,555.07,627.95
2000,FIN,500.63,432.36,365.44
2000,FIN,628.85,721.4,601.79
2000,FIN,534.97,465.99,434.9
2000,FIN,405.25,458.77,510.74
2000,FIN,567.82,587.84,608.17
2000,FIN,367.06,434.18,360.03
2000,FIN,385.41,381.51,326.72
2000,FIN,576.98,583.29,619.89
2000,FIN,497.57,568.7,538.64
2000,FIN,588.43,578.75,573.89
2000,FIN,499.13,603.29,528.79
2000,FIN,518.98,535.12,475.56
2000,FIN,625.06,694.18,680.33
2000,FIN,592.21,549.61,550.37
2000,FIN,567.79,635.96,564.8
2000,FIN,483.07,516.89,514.28
2000,FIN,703.65,677.77,627.95
2000,FIN,660.94,653.28,568.48
2000,FIN,500.63,664.14,562.09
2000,FIN,599.88,633.29,530.59
2000,FIN,418.23,565.12,526.08
2000,FIN,555.61,554.21,467.44
2000,FIN,554.82,470.54,623.43
2000,FIN,541.08,575.97,546.76
2000,FIN,608.24,702.32,670.34
2000,FIN,654.07,635.1,556.75
2000,FIN,640.33,615.11,578.4
2000,FIN,652.51,670.5,684.78
2000,FIN,602.17,511.49,561.26
2000,FIN,445.71,455.13,430.46
2000,FIN,554.82,642.33,603.59
2000,FIN,383.09,415.09,406.04
2000,FIN,419.72,454.18,373.56
2000,FIN,412.09,556.89,449.34
2000,FIN,431.2,416.05,433.17
2000,FIN,490.7,595.06,545.86
2000,FIN,633.46,670.55,669.51
2000,FIN,478.52,476.95,483.68
2000,FIN,478.49,530.53,498.05
2000,FIN,467.84,540.57,480.98
2000,FIN,452.54,519.62,581.04
2000,FIN,406.78,458.77,417.83
2000,FIN,380.04,308.75,271.63
2000,FIN,541.84,501.44,502.56
2000,FIN,454.86,405.14,431.36
2000,FIN,359.46,464.22,512.55
2000,FIN,493.76,550.52,507.97
2000,FIN,541.08,559.61,560.29
2000,FIN,505.24,527.85,544.12
2000,FIN,651.75,591.43,605.39
2000,FIN,702.91,573.3,581.11
2000,FIN,560.16,688.68,609
2000,FIN,507.53,562.39,466.54
2000,FIN,540.35,401.51,471.05
2000,FIN,466.28,535.98,475.5
2000,FIN,560.16,519.62,472.79
2000,FIN,423.54,317.84,406.04
2000,FIN,514.36,510.53,427.69
2000,FIN,520.5,566.02,539.61
2000,FIN,628.12,635.1,597.34
2000,FIN,438.07,315.16,341.15
2000,FIN,545.69,549.66,556.75
2000,FIN,534.21,502.35,572.02
2000,FIN,637.28,617.83,582.91
2000,FIN,652.54,585.11,517.96
2000,FIN,661.67,574.16,519.7
2000,FIN,564.77,583.29,640.64
2000,FIN,567.03,682.32,575.63
2000,FIN,541.87,544.21,536.9
2000,FIN,555.58,598.7,611.71
2000,FIN,619.69,659.6,700.11
2000,FIN,524.32,654.19,590.13
2000,FIN,673.88,675.96,666.73
2000,FIN,573.16,636.92,532.39
2000,FIN,620.45,648.69,579.23
2000,FIN,602.9,540.53,549.47
2000,FIN,613.62,682.37,648.76
2000,FIN,551.79,564.21,483.68
2000,FIN,580.8,622.38,550.43
2000,FIN,554.05,510.53,537.74
2000,FIN,499.86,558.7,618.92
2000,FIN,492.99,613.24,592.76
2000,FIN,471.62,628.69,527.82
2000,FIN,606.75,641.47,613.58
2000,FIN,538.06,592.38,587.42
2000,FIN,611.33,523.3,477.37
2000,FIN,531.19,597.84,576.59
2000,FIN,615.87,586.88,603.59
2000,FIN,559.4,636.87,583.74
2000,FIN,528.1,587.79,547.66
2000,FIN,522.76,525.07,517.89
2000,FIN,637.28,662.37,662.29
2000,FIN,606.72,615.97,590.06
2000,FIN,536.5,640.51,566.6
2000,FIN,547.21,707.82,627.11
