country_name,country_code,x1974,x1975,x1980,x1981,x1990,x2002,x2005,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020
Canada,CAN,6.66716003417969,6.42131996154785,6.46289014816284,6.409019947052,5.96922016143799,4.99308013916016,4.76588010787964,4.7664098739624,4.62612009048462,4.84057998657227,5.356369972229,5.26205015182495,4.69258737564087,4.5890097618103,4.84358978271484,4.7393798828125,4.81642007827759,4.95996999740601,4.8889799118042,4.77293014526367,4.88794994354248
Chile,CHL,3.75120997428894,3.59472990036011,4.21999979019165,4.91429996490479,2.25015997886658,4.04881000518799,3.28016996383667,3.2331600189209,3.79189991950989,4.25475978851318,4.18953990936279,4.0617299079895,4.54170417785645,4.54814004898071,4.75167989730835,4.90390014648438,5.3664698600769,5.43278980255127,5.473060131073,5.61996984481812,5.62514019012451
Finland,FIN,4.48230981826782,5.03323984146118,4.82574987411499,4.83336019515991,5.33890008926392,6.01677989959717,6.02507019042969,5.67125988006592,5.83010005950928,6.45955991744995,6.50444984436035,6.44504976272583,7.14803981781006,7.12404012680054,7.10236978530884,7.03208017349243,6.85153007507324,6.36311006546021,6.27557992935181,6.41695022583008,6.6349401473999
"Hong Kong SAR, China",HKG,2.36029005050659,2.44919991493225,2.19214010238647,2.27172994613647,2.46608996391296,4.01554012298584,4.13463020324707,3.45455002784729,3.26062989234924,4.39212989807129,3.51003003120422,3.41822004318237,3.50960993766785,3.76031994819641,3.57255005836487,3.26212000846863,3.29269003868103,3.30989003181458,3.32624006271362,3.81017994880676,4.40562009811401
