year,country,math,read,science
2000,HKG,596.06,551.48,524.27
2000,HKG,473.15,531.44,571.11
2000,HKG,284.66,316.98,355.59
2000,HKG,557.9,486.04,397.08
2000,HKG,584.58,565.98,563
2000,HKG,487.68,459.68,479.17
2000,HKG,533.48,548.76,520.67
2000,HKG,605.98,641.47,571.18
2000,HKG,731.15,692.37,599.15
2000,HKG,535.77,525.12,504.43
2000,HKG,649.49,582.39,582.91
2000,HKG,565.53,575.11,605.46
2000,HKG,598.32,489.63,602.69
2000,HKG,538.06,581.48,497.21
2000,HKG,565.5,548.71,617.12
2000,HKG,502.15,510.53,549.47
2000,HKG,533.48,478.77,502.63
2000,HKG,615.91,548.76,531.49
2000,HKG,576.95,614.15,591.86
2000,HKG,496.81,519.62,522.4
2000,HKG,638.77,591.43,652.3
2000,HKG,545.69,630.56,597.34
2000,HKG,474.68,555.07,532.33
2000,HKG,569.35,516.94,492.7
2000,HKG,623.51,615.06,561.19
2000,HKG,616.64,534.16,527.82
2000,HKG,502.15,540.53,594.57
2000,HKG,625.83,565.12,598.24
2000,HKG,566.26,558.7,596.37
2000,HKG,537.29,515.12,486.39
2000,HKG,562.48,536.03,549.53
2000,HKG,534.24,512.4,502.63
2000,HKG,480.78,447.81,502.56
2000,HKG,534.24,386.96,394.38
2000,HKG,424.3,460.54,535.03
2000,HKG,434.99,472.36,464.67
2000,HKG,459.41,489.63,595.47
2000,HKG,619.72,546.03,591.03
2000,HKG,480.81,471.5,427.75
2000,HKG,646.43,588.75,564.87
2000,HKG,501.39,397.82,467.38
2000,HKG,410.6,341.52,407.01
2000,HKG,444.15,452.36,469.18
2000,HKG,559.43,459.68,454.82
2000,HKG,439.57,460.54,460.16
2000,HKG,583.85,543.3,572.08
2000,HKG,577.71,530.53,535.93
2000,HKG,575.45,484.22,432.26
2000,HKG,495.32,523.3,475.56
2000,HKG,522,449.63,474.59
2000,HKG,470.89,408.78,448.5
2000,HKG,602.14,555.98,603.59
2000,HKG,608.27,601.47,460.23
2000,HKG,681.51,661.41,576.53
2000,HKG,644.15,551.48,588.32
2000,HKG,573.9,608.7,572.92
2000,HKG,622.01,571.48,596.44
2000,HKG,538.06,542.39,530.59
2000,HKG,652.51,637.78,654.11
2000,HKG,699.07,695.04,689.29
2000,HKG,524.29,512.35,522.4
2000,HKG,569.32,497.81,515.19
2000,HKG,585.38,595.11,545.92
2000,HKG,459.44,421.5,444.89
2000,HKG,503.71,486.95,399.79
2000,HKG,386.94,421.5,379.04
2000,HKG,536.5,478.72,503.46
2000,HKG,484.6,379.64,424.98
