"REF_DATE","GEO","DGUID","Level of education","Expenditure Type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018/2019","Manitoba","2016A000246","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112217","9.2.6","36","","","","0"
"2018/2019","Manitoba","2016A000246","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112218","9.2.7","10","","","","0"
"2018/2019","Manitoba","2016A000246","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112219","9.3.1","518426","","","","0"
"2018/2019","Manitoba","2016A000246","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112220","9.3.2","95","","","","0"
"2018/2019","Manitoba","2016A000246","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112221","9.3.3","66","","","","0"
"2018/2019","Manitoba","2016A000246","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112222","9.3.4","37","","","","0"
"2018/2019","Manitoba","2016A000246","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112223","9.3.5","29","","","","0"
"2018/2019","Manitoba","2016A000246","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112224","9.3.6","34","","","","0"
"2018/2019","Manitoba","2016A000246","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112225","9.3.7","5","","","","0"
"2018/2019","Manitoba","2016A000246","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112226","9.4.1","1150227","","","","0"
"2018/2019","Manitoba","2016A000246","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112227","9.4.2","88","","","","0"
"2018/2019","Manitoba","2016A000246","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112228","9.4.3","63","","","","0"
"2018/2019","Manitoba","2016A000246","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112229","9.4.4","32","","","","0"
"2018/2019","Manitoba","2016A000246","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112230","9.4.5","31","","","","0"
"2018/2019","Manitoba","2016A000246","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112231","9.4.6","37","","","","0"
"2018/2019","Manitoba","2016A000246","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112232","9.4.7","12","","","","0"
"2018/2019","Saskatchewan","2016A000247","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112233","10.1.1","2978131","","","","0"
"2018/2019","Saskatchewan","2016A000247","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112234","10.1.2","97","","","","0"
"2018/2019","Saskatchewan","2016A000247","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112235","10.1.3","81","","","","0"
"2018/2019","Saskatchewan","2016A000247","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112236","10.1.4","64","","","","0"
"2018/2019","Saskatchewan","2016A000247","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112237","10.1.5","16","","","","0"
"2018/2019","Saskatchewan","2016A000247","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112238","10.1.6","19","","","","0"
"2018/2019","Saskatchewan","2016A000247","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112239","10.1.7","3","","","","0"
"2018/2019","Saskatchewan","2016A000247","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112240","10.2.1","1788651","","","","0"
"2018/2019","Saskatchewan","2016A000247","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112241","10.2.2","92","","","","0"
"2018/2019","Saskatchewan","2016A000247","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112242","10.2.3","64","","","","0"
"2018/2019","Saskatchewan","2016A000247","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112243","10.2.4","35","","","","0"
"2018/2019","Saskatchewan","2016A000247","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112244","10.2.5","30","","","","0"
"2018/2019","Saskatchewan","2016A000247","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112245","10.2.6","36","","","","0"
"2018/2019","Saskatchewan","2016A000247","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112246","10.2.7","8","","","","0"
"2018/2019","Saskatchewan","2016A000247","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112247","10.3.1","471083","","","","0"
"2018/2019","Saskatchewan","2016A000247","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112248","10.3.2","97","","","","0"
"2018/2019","Saskatchewan","2016A000247","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112249","10.3.3","66","","","","0"
"2018/2019","Saskatchewan","2016A000247","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112250","10.3.4","40","","","","0"
"2018/2019","Saskatchewan","2016A000247","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112251","10.3.5","27","","","","0"
"2018/2019","Saskatchewan","2016A000247","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112252","10.3.6","34","","","","0"
"2018/2019","Saskatchewan","2016A000247","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112253","10.3.7","3","","","","0"
"2018/2019","Saskatchewan","2016A000247","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112254","10.4.1","1317568","","","","0"
"2018/2019","Saskatchewan","2016A000247","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112255","10.4.2","91","","","","0"
"2018/2019","Saskatchewan","2016A000247","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112256","10.4.3","63","","","","0"
"2018/2019","Saskatchewan","2016A000247","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112257","10.4.4","33","","","","0"
"2018/2019","Saskatchewan","2016A000247","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112258","10.4.5","31","","","","0"
"2018/2019","Saskatchewan","2016A000247","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112259","10.4.6","37","","","","0"
"2018/2019","Saskatchewan","2016A000247","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112260","10.4.7","9","","","","0"
"2018/2019","Alberta","2016A000248","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112261","11.1.1","9979202","","","","0"
"2018/2019","Alberta","2016A000248","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112262","11.1.2","94","","","","0"
"2018/2019","Alberta","2016A000248","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112263","11.1.3","81","","","","0"
"2018/2019","Alberta","2016A000248","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112264","11.1.4","73","","","","0"
"2018/2019","Alberta","2016A000248","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112265","11.1.5","8","","","","0"
"2018/2019","Alberta","2016A000248","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112266","11.1.6","19","","","","0"
"2018/2019","Alberta","2016A000248","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112267","11.1.7","6","","","","0"
"2018/2019","Alberta","2016A000248","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112268","11.2.1","6787628","","","","0"
"2018/2019","Alberta","2016A000248","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112269","11.2.2","90","","","","0"
"2018/2019","Alberta","2016A000248","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112270","11.2.3","66","","","","0"
"2018/2019","Alberta","2016A000248","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112271","11.2.4","33","","","","0"
"2018/2019","Alberta","2016A000248","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112272","11.2.5","32","","","","0"
"2018/2019","Alberta","2016A000248","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112273","11.2.6","34","","","","0"
"2018/2019","Alberta","2016A000248","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112274","11.2.7","10","","","","0"
"2018/2019","Alberta","2016A000248","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112275","11.3.1","2459896","","","","0"
"2018/2019","Alberta","2016A000248","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112276","11.3.2","95","","","","0"
"2018/2019","Alberta","2016A000248","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112277","11.3.3","62","","","","0"
"2018/2019","Alberta","2016A000248","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112278","11.3.4","33","","","","0"
"2018/2019","Alberta","2016A000248","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112279","11.3.5","30","","","","0"
"2018/2019","Alberta","2016A000248","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112280","11.3.6","38","","","","0"
"2018/2019","Alberta","2016A000248","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112281","11.3.7","5","","","","0"
"2018/2019","Alberta","2016A000248","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112282","11.4.1","4327732","","","","0"
"2018/2019","Alberta","2016A000248","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112283","11.4.2","88","","","","0"
"2018/2019","Alberta","2016A000248","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112284","11.4.3","68","","","","0"
"2018/2019","Alberta","2016A000248","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112285","11.4.4","34","","","","0"
"2018/2019","Alberta","2016A000248","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112286","11.4.5","34","","","","0"
"2018/2019","Alberta","2016A000248","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112287","11.4.6","32","","","","0"
"2018/2019","Alberta","2016A000248","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112288","11.4.7","12","","","","0"
"2018/2019","British Columbia","2016A000259","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112289","12.1.1","8227632","","","","0"
"2018/2019","British Columbia","2016A000259","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112290","12.1.2","91","","","","0"
"2018/2019","British Columbia","2016A000259","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112291","12.1.3","78","","","","0"
"2018/2019","British Columbia","2016A000259","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112292","12.1.4","64","","","","0"
"2018/2019","British Columbia","2016A000259","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112293","12.1.5","15","","","","0"
"2018/2019","British Columbia","2016A000259","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112294","12.1.6","22","","","","0"
"2018/2019","British Columbia","2016A000259","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112295","12.1.7","9","","","","0"
"2018/2019","British Columbia","2016A000259","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112296","12.2.1","8256718","","","","0"
"2018/2019","British Columbia","2016A000259","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112297","12.2.2","89","","","","0"
"2018/2019","British Columbia","2016A000259","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112298","12.2.3","68","","","","0"
"2018/2019","British Columbia","2016A000259","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112299","12.2.4","38","","","","0"
"2018/2019","British Columbia","2016A000259","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112300","12.2.5","31","","","","0"
"2018/2019","British Columbia","2016A000259","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112301","12.2.6","32","","","","0"
"2018/2019","British Columbia","2016A000259","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112302","12.2.7","11","","","","0"
"2018/2019","British Columbia","2016A000259","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112303","12.3.1","3003082","","","","0"
"2018/2019","British Columbia","2016A000259","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112304","12.3.2","96","","","","0"
"2018/2019","British Columbia","2016A000259","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112305","12.3.3","66","","","","0"
"2018/2019","British Columbia","2016A000259","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112306","12.3.4","39","","","","0"
"2018/2019","British Columbia","2016A000259","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112307","12.3.5","27","","","","0"
"2018/2019","British Columbia","2016A000259","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112308","12.3.6","34","","","","0"
"2018/2019","British Columbia","2016A000259","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112309","12.3.7","4","","","","0"
"2018/2019","British Columbia","2016A000259","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112310","12.4.1","5253636","","","","0"
"2018/2019","British Columbia","2016A000259","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112311","12.4.2","85","","","","0"
"2018/2019","British Columbia","2016A000259","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112312","12.4.3","70","","","","0"
"2018/2019","British Columbia","2016A000259","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112313","12.4.4","37","","","","0"
"2018/2019","British Columbia","2016A000259","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112314","12.4.5","33","","","","0"
"2018/2019","British Columbia","2016A000259","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112315","12.4.6","30","","","","0"
"2018/2019","British Columbia","2016A000259","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112316","12.4.7","15","","","","0"
"2018/2019","Yukon","2016A000260","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112317","13.1.1","156150","","","","0"
"2018/2019","Yukon","2016A000260","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112318","13.1.2","94","","","","0"
"2018/2019","Yukon","2016A000260","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112319","13.1.3","71","","","","0"
"2018/2019","Yukon","2016A000260","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112320","13.1.4","62","","","","0"
"2018/2019","Yukon","2016A000260","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112321","13.1.5","9","","","","0"
"2018/2019","Yukon","2016A000260","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112322","13.1.6","29","","","","0"
"2018/2019","Yukon","2016A000260","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112323","13.1.7","6","","","","0"
"2018/2019","Yukon","2016A000260","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112324","13.2.1","56805","","","","0"
"2018/2019","Yukon","2016A000260","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112325","13.2.2","100","","","","0"
"2018/2019","Yukon","2016A000260","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112326","13.2.3","62","","","","0"
"2018/2019","Yukon","2016A000260","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112327","13.2.4","23","","","","0"
"2018/2019","Yukon","2016A000260","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112328","13.2.5","39","","","","0"
"2018/2019","Yukon","2016A000260","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112329","13.2.6","38","","","","0"
"2018/2019","Yukon","2016A000260","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112330","13.2.7","0","","","","0"
"2018/2019","Yukon","2016A000260","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112331","13.3.1","56805","","","","0"
"2018/2019","Yukon","2016A000260","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112332","13.3.2","100","","","","0"
"2018/2019","Yukon","2016A000260","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112333","13.3.3","62","","","","0"
"2018/2019","Yukon","2016A000260","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112334","13.3.4","23","","","","0"
"2018/2019","Yukon","2016A000260","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112335","13.3.5","39","","","","0"
"2018/2019","Yukon","2016A000260","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112336","13.3.6","38","","","","0"
"2018/2019","Yukon","2016A000260","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112337","13.3.7","0","","","","0"
"2018/2019","Yukon","2016A000260","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112338","13.4.1","","..","","","0"
"2018/2019","Yukon","2016A000260","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112339","13.4.2","","..","","","0"
"2018/2019","Yukon","2016A000260","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112340","13.4.3","","..","","","0"
"2018/2019","Yukon","2016A000260","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112341","13.4.4","","..","","","0"
"2018/2019","Yukon","2016A000260","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112342","13.4.5","","..","","","0"
"2018/2019","Yukon","2016A000260","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112343","13.4.6","","..","","","0"
"2018/2019","Yukon","2016A000260","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112344","13.4.7","","..","","","0"
"2018/2019","Northwest Territories","2016A000261","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112345","14.1.1","251896","","","","0"
"2018/2019","Northwest Territories","2016A000261","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112346","14.1.2","89","","","","0"
"2018/2019","Northwest Territories","2016A000261","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112347","14.1.3","70","","","","0"
"2018/2019","Northwest Territories","2016A000261","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112348","14.1.4","56","","","","0"
"2018/2019","Northwest Territories","2016A000261","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112349","14.1.5","13","","","","0"
"2018/2019","Northwest Territories","2016A000261","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112350","14.1.6","30","","","","0"
"2018/2019","Northwest Territories","2016A000261","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112351","14.1.7","11","","","","0"
"2018/2019","Northwest Territories","2016A000261","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112352","14.2.1","53047","","","","0"
"2018/2019","Northwest Territories","2016A000261","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112353","14.2.2","96","","","","0"
"2018/2019","Northwest Territories","2016A000261","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112354","14.2.3","59","","","","0"
"2018/2019","Northwest Territories","2016A000261","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112355","14.2.4","30","","","","0"
"2018/2019","Northwest Territories","2016A000261","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112356","14.2.5","29","","","","0"
"2018/2019","Northwest Territories","2016A000261","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112357","14.2.6","41","","","","0"
"2018/2019","Northwest Territories","2016A000261","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112358","14.2.7","4","","","","0"
"2018/2019","Northwest Territories","2016A000261","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112359","14.3.1","53047","","","","0"
"2018/2019","Northwest Territories","2016A000261","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112360","14.3.2","96","","","","0"
"2018/2019","Northwest Territories","2016A000261","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112361","14.3.3","59","","","","0"
"2018/2019","Northwest Territories","2016A000261","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112362","14.3.4","30","","","","0"
"2018/2019","Northwest Territories","2016A000261","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112363","14.3.5","29","","","","0"
"2018/2019","Northwest Territories","2016A000261","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112364","14.3.6","41","","","","0"
"2018/2019","Northwest Territories","2016A000261","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112365","14.3.7","4","","","","0"
"2018/2019","Northwest Territories","2016A000261","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112366","14.4.1","","..","","","0"
"2018/2019","Northwest Territories","2016A000261","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112367","14.4.2","","..","","","0"
"2018/2019","Northwest Territories","2016A000261","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112368","14.4.3","","..","","","0"
"2018/2019","Northwest Territories","2016A000261","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112369","14.4.4","","..","","","0"
"2018/2019","Northwest Territories","2016A000261","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112370","14.4.5","","..","","","0"
"2018/2019","Northwest Territories","2016A000261","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112371","14.4.6","","..","","","0"
"2018/2019","Northwest Territories","2016A000261","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112372","14.4.7","","..","","","0"
"2018/2019","Nunavut","2016A000262","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112373","15.1.1","236919","","","","0"
"2018/2019","Nunavut","2016A000262","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112374","15.1.2","86","","","","0"
"2018/2019","Nunavut","2016A000262","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112375","15.1.3","69","","","","0"
"2018/2019","Nunavut","2016A000262","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112376","15.1.4","54","","","","0"
"2018/2019","Nunavut","2016A000262","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112377","15.1.5","15","","","","0"
"2018/2019","Nunavut","2016A000262","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112378","15.1.6","31","","","","0"
"2018/2019","Nunavut","2016A000262","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112379","15.1.7","14","","","","0"
"2018/2019","Nunavut","2016A000262","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112380","15.2.1","54915","","","","0"
"2018/2019","Nunavut","2016A000262","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112381","15.2.2","100","","","","0"
