"REF_DATE","GEO","DGUID","Level of education","Expenditure Type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018/2019","Organisation for Economic Co-operation and Development (OECD) - average","","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112008","1.4.7","11","","","","0"
"2018/2019","Canada","2016A000211124","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112009","2.1.1","78828303","","","","0"
"2018/2019","Canada","2016A000211124","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112010","2.1.2","92","","","","0"
"2018/2019","Canada","2016A000211124","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112011","2.1.3","81","","","","0"
"2018/2019","Canada","2016A000211124","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112012","2.1.4","66","","","","0"
"2018/2019","Canada","2016A000211124","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112013","2.1.5","15","","","","0"
"2018/2019","Canada","2016A000211124","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112014","2.1.6","19","","","","0"
"2018/2019","Canada","2016A000211124","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112015","2.1.7","8","","","","0"
"2018/2019","Canada","2016A000211124","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112016","2.2.1","58682163","","","","0"
"2018/2019","Canada","2016A000211124","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112017","2.2.2","91","","","","0"
"2018/2019","Canada","2016A000211124","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112018","2.2.3","66","","","","0"
"2018/2019","Canada","2016A000211124","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112019","2.2.4","37","","","","0"
"2018/2019","Canada","2016A000211124","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112020","2.2.5","29","","","","0"
"2018/2019","Canada","2016A000211124","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112021","2.2.6","34","","","","0"
"2018/2019","Canada","2016A000211124","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112022","2.2.7","9","","","","0"
"2018/2019","Canada","2016A000211124","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112023","2.3.1","20772979","","","","0"
"2018/2019","Canada","2016A000211124","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112024","2.3.2","94","","","","0"
"2018/2019","Canada","2016A000211124","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112025","2.3.3","66","","","","0"
"2018/2019","Canada","2016A000211124","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112026","2.3.4","39","","","","0"
"2018/2019","Canada","2016A000211124","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112027","2.3.5","27","","","","0"
"2018/2019","Canada","2016A000211124","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112028","2.3.6","34","","","","0"
"2018/2019","Canada","2016A000211124","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112029","2.3.7","6","","","","0"
"2018/2019","Canada","2016A000211124","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112030","2.4.1","37909184","","","","0"
"2018/2019","Canada","2016A000211124","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112031","2.4.2","90","","","","0"
"2018/2019","Canada","2016A000211124","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112032","2.4.3","66","","","","0"
"2018/2019","Canada","2016A000211124","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112033","2.4.4","36","","","","0"
"2018/2019","Canada","2016A000211124","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112034","2.4.5","30","","","","0"
"2018/2019","Canada","2016A000211124","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112035","2.4.6","34","","","","0"
"2018/2019","Canada","2016A000211124","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112036","2.4.7","10","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112037","3.1.1","849557","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112038","3.1.2","96","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112039","3.1.3","83","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112040","3.1.4","74","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112041","3.1.5","10","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112042","3.1.6","17","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112043","3.1.7","4","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112044","3.2.1","940891","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112045","3.2.2","94","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112046","3.2.3","60","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112047","3.2.4","32","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112048","3.2.5","28","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112049","3.2.6","40","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112050","3.2.7","6","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112051","3.3.1","189780","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112052","3.3.2","97","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112053","3.3.3","70","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112054","3.3.4","43","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112055","3.3.5","26","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112056","3.3.6","30","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112057","3.3.7","3","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112058","3.4.1","751111","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112059","3.4.2","94","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112060","3.4.3","58","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112061","3.4.4","29","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112062","3.4.5","29","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112063","3.4.6","42","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112064","3.4.7","6","","","","0"
"2018/2019","Prince Edward Island","2016A000211","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112065","4.1.1","287186","","","","0"
"2018/2019","Prince Edward Island","2016A000211","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112066","4.1.2","93","","","","0"
"2018/2019","Prince Edward Island","2016A000211","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112067","4.1.3","83","","","","0"
"2018/2019","Prince Edward Island","2016A000211","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112068","4.1.4","71","","","","0"
"2018/2019","Prince Edward Island","2016A000211","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112069","4.1.5","12","","","","0"
"2018/2019","Prince Edward Island","2016A000211","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112070","4.1.6","17","","","","0"
"2018/2019","Prince Edward Island","2016A000211","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112071","4.1.7","7","","","","0"
"2018/2019","Prince Edward Island","2016A000211","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112072","4.2.1","236822","","","","0"
"2018/2019","Prince Edward Island","2016A000211","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112073","4.2.2","93","","","","0"
"2018/2019","Prince Edward Island","2016A000211","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112074","4.2.3","67","","","","0"
"2018/2019","Prince Edward Island","2016A000211","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112075","4.2.4","32","","","","0"
"2018/2019","Prince Edward Island","2016A000211","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112076","4.2.5","35","","","","0"
"2018/2019","Prince Edward Island","2016A000211","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112077","4.2.6","33","","","","0"
"2018/2019","Prince Edward Island","2016A000211","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112078","4.2.7","7","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112079","4.3.1","95610","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112080","4.3.2","92","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112081","4.3.3","64","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112082","4.3.4","31","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112083","4.3.5","33","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112084","4.3.6","36","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112085","4.3.7","8","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112086","4.4.1","141212","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112087","4.4.2","93","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112088","4.4.3","69","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112089","4.4.4","32","","","","0"
